"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","[BR-PL-002] El slug se genera automáticamente al crear la playlist","","2026-03-06","failed","2026-03-06","Playlist API > Reglas de negocio (BR) verificables por API","playlist/playlist.test.js","",""
"","31","TC-CAT-POST-NEG-002: Debe fallar si 'drm' tiene un valor inválido","","2026-03-06","passed","2026-03-06","POST /api/category - Creación de categorías","category/post_category.test.js","",""
"","69","[PL-FUNC-001.1.6 / PL-API-003.1.5] Elimina playlist y verifica 404 en GET subsecuente","","2026-03-06","passed","2026-03-06","Playlist API > DELETE /api/playlist/{id} · Eliminación de playlists","playlist/playlist.test.js","",""
"","105","TC_LIV_011_GET_PaginationSkip","","2026-03-06","passed","2026-03-06","Live Stream API > 2. Búsqueda y Filtros","live/live.test.js","",""
"","68","[PL-API-003.1.6] Playlist sin medias devuelve medias como array vacío con ?medias=true","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist/{id}?medias=true · Medias incluidas en el detalle","playlist/playlist.test.js","",""
"","205","TC-010: Obtener cupón por ID","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","38","TC_AR_NEG_010_GET_NonExistentRestriction","","2026-03-06","passed","2026-03-06","2. Get by ID (GET /api/settings/advanced-access-restrictions/:id)","access_restriction/access_restriction.test.js","",""
"","54","TC_SHW_NEG_050_REMOVE_NonExistentShow","","2026-03-06","passed","2026-03-06","4. Remove (DELETE /api/show/:id)","show/show.test.js","",""
"","179","TC_SHW_NEG_010_GET_NonExistentShow","","2026-03-06","passed","2026-03-06","2. Read (GET /api/show/:id)","show/show.test.js","",""
"","380","TC_MED_THUMB_DELETE","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","49","TC_SHW_NEG_002_INSERT_MissingTitle","","2026-03-06","passed","2026-03-06","1. Create (POST /api/show)","show/show.test.js","",""
"","34","TC-CAT-POST-NEG-003: Debe fallar si 'parent' no es un ID válido","","2026-03-06","passed","2026-03-06","POST /api/category - Creación de categorías","category/post_category.test.js","",""
"","27","TC_MED_015_SEARCH_ExactTitle","","2026-03-06","passed","2026-03-06","7. Search (GET /api/media/search)","media/media.test.js","",""
"","212","TC_SHW_011_GET_ShowWithPopulate","","2026-03-06","passed","2026-03-06","2. Read (GET /api/show/:id)","show/show.test.js","",""
"","16","TC-CAT-POST-NEG-004: Debe fallar si 'name' es vacío","","2026-03-06","passed","2026-03-06","POST /api/category - Creación de categorías","category/post_category.test.js","",""
"","182","[PL-API-003.1.6] Sin ?medias=true el campo medias no incluye objetos detallados","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist/{id}?medias=true · Medias incluidas en el detalle","playlist/playlist.test.js","",""
"","36","TC_MED_016_SEARCH_FilterByArrayTag","","2026-03-06","passed","2026-03-06","7. Search (GET /api/media/search)","media/media.test.js","",""
"","78","TC_SHW_074_VALIDATION_UnicodeCharactersInDescription","","2026-03-06","passed","2026-03-06","5. Edge Cases y Validaciones","show/show.test.js","",""
"","185","[PL-FUNC-001.3.1] El token generado aparece en el detalle de la playlist","","2026-03-06","failed","2026-03-06","Playlist API > Access Tokens · POST & DELETE /api/playlist/{id}/access-token","playlist/playlist.test.js","",""
"","431","TC_MED_002_POST_CreateFullPayload","","2026-03-06","passed","2026-03-06","2. Create Media (POST /api/media)","media/media.test.js","",""
"","153","[PL-FUNC-001.3.3 / PL-API-003.1.10] Elimina access token exitosamente","","2026-03-06","failed","2026-03-06","Playlist API > Access Tokens · POST & DELETE /api/playlist/{id}/access-token","playlist/playlist.test.js","",""
"","172","TC_SHW_NEG_011_GET_InvalidShowId","","2026-03-06","passed","2026-03-06","2. Read (GET /api/show/:id)","show/show.test.js","",""
"","111","Debe permitir buscar por category_name","","2026-03-06","passed","2026-03-06","GET /api/category - Búsqueda y listados de categorías","category/get_category.test.js","",""
"","81","TC-004: Test de paginación","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","48","TC_LIV_021_GET_FilterFavorites","","2026-03-06","passed","2026-03-06","Live Stream API > 2. Búsqueda y Filtros","live/live.test.js","",""
"","1356","TC_MED_META_DELETE","","2026-03-06","passed","2026-03-06","10. Subrecursos (Metas)","media/media.test.js","",""
"","98","TC-003: Validar estructura de datos","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","18","[PL-API-003.2 NEG] 404 al solicitar playlist inexistente","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist/{id} · Detalle de playlist","playlist/playlist.test.js","",""
"","353","TC_MED_018a_INDEX_VisibilityAdmin","","2026-03-06","passed","2026-03-06","8. Visibility Index (GET /api/media)","media/media.test.js","",""
"","2874","TC_MED_001_POST_CreateStandardVideo","","2026-03-06","passed","2026-03-06","2. Create Media (POST /api/media)","media/media.test.js","",""
"","30","TC_MED_SUBTITLE_GET_NotFound","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","183","[PL-FUNC-001.3.3] Tras eliminar el token, ya no aparece en el detalle","","2026-03-06","failed","2026-03-06","Playlist API > Access Tokens · POST & DELETE /api/playlist/{id}/access-token","playlist/playlist.test.js","",""
"","55","TC_LIV_007_GET_FilterOnline","","2026-03-06","passed","2026-03-06","Live Stream API > 2. Búsqueda y Filtros","live/live.test.js","",""
"","471","TC_MED_014c_FILTER_TitleStartsEndsWith","","2026-03-06","passed","2026-03-06","6. Filtros Avanzados (filterData)","media/media.test.js","",""
"","354","TC_MED_017a_INDEX_VisibilityMasking","","2026-03-06","passed","2026-03-06","8. Visibility Index (GET /api/media)","media/media.test.js","",""
"","119","TC_SHW_003_INSERT_GenresNullCleaning","","2026-03-06","passed","2026-03-06","1. Create (POST /api/show)","show/show.test.js","",""
"","31","[PL-API-003.2 NEG] 404 al eliminar playlist inexistente","","2026-03-06","passed","2026-03-06","Playlist API > DELETE /api/playlist/{id} · Eliminación de playlists","playlist/playlist.test.js","",""
"","406","[PL-API-003.1.6] Retorna 200 con campo medias presente en la respuesta","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist/{id}?medias=true · Medias incluidas en el detalle","playlist/playlist.test.js","",""
"","714","TC_LIV_026_POST_AssignPlayer","","2026-03-06","skipped","2026-03-06","Live Stream API > 7. Thumbnails y Logo","live/live.test.js","",""
"","280","TC-002: Verificar filtro por custom_code","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","453","[PL-FUNC-001.1.1 / PL-API-003.1.3] Crea playlist Manual y asocia medias via update (Happy Path)","","2026-03-06","failed","2026-03-06","Playlist API > POST /api/playlist · Creación de playlists","playlist/playlist.test.js","",""
"","870","TC_MED_UPLOAD_GET","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","221","TC_SHW_010_GET_ExistingShowDetail","","2026-03-06","passed","2026-03-06","2. Read (GET /api/show/:id)","show/show.test.js","",""
"","246","TC_MED_006_GET_ListValidPagination","","2026-03-06","passed","2026-03-06","3. Read Media (GET /api/media & /api/media/:id)","media/media.test.js","",""
"","747","TC_MED_010_UPDATE_ChangeTitleOnly","","2026-03-06","passed","2026-03-06","4. Partial Update (POST /api/media/:id)","media/media.test.js","",""
"","113","Actualizar Ad existente (200)","","2026-03-06","passed","2026-03-06","💵 Ad - Update )","ad/update_ad.test.js","",""
"","54","TC_SHW_NEG_003_INSERT_InvalidType","","2026-03-06","passed","2026-03-06","1. Create (POST /api/show)","show/show.test.js","",""
"","102","TC_SHW_002_INSERT_FullPayload","","2026-03-06","passed","2026-03-06","1. Create (POST /api/show)","show/show.test.js","",""
"","36","TC_AR_NEG_011_GET_InvalidIdFormat","","2026-03-06","passed","2026-03-06","2. Get by ID (GET /api/settings/advanced-access-restrictions/:id)","access_restriction/access_restriction.test.js","",""
"","754","TC_LIV_013_POST_ToggleOffline","","2026-03-06","passed","2026-03-06","Live Stream API > 3. Estado Online/Offline","live/live.test.js","",""
"","84","TC_SHW_071_VALIDATION_VeryLongTitle","","2026-03-06","passed","2026-03-06","5. Edge Cases y Validaciones","show/show.test.js","",""
"","39","[PL-API-003.1.1] Retorna 200 con array de playlists y schema válido","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist · Listado de playlists","playlist/playlist.test.js","",""
"","105","TC_LIV_022_GET_ListWithParams","","2026-03-06","passed","2026-03-06","Live Stream API > 2. Búsqueda y Filtros","live/live.test.js","",""
"","137","[PL-API-003.2.3 NEG] 400 con type con valor inválido","","2026-03-06","failed","2026-03-06","Playlist API > POST /api/playlist · Creación de playlists","playlist/playlist.test.js","",""
"","221","TC_SHW_041_UPDATE_CompleteUpdate","","2026-03-06","passed","2026-03-06","3. Update (POST /api/show/:id)","show/show.test.js","",""
"","519","TC_LIV_004_POST_UpdateNameOnly","","2026-03-06","passed","2026-03-06","Live Stream API > 1. CRUD Principal (POST/GET/DELETE)","live/live.test.js","",""
"","17","TC_MED_017_SEARCH_VisibilityMasking","","2026-03-06","passed","2026-03-06","7. Search (GET /api/media/search)","media/media.test.js","",""
"","812","TC_LIV_014_POST_SetFavorite","","2026-03-06","passed","2026-03-06","Live Stream API > 4. Favoritos (toggle-bookmark)","live/live.test.js","",""
