"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2347","TC_SCH_006_POST_CreateScheduleJob_InvalidPayload @negative","regression","2026-06-19","passed","2026-06-19","Schedule - Regression","api/regression/schedule/schedule-advanced.regression.spec.js","",""
"","45238","TC_THB_004_DELETE_RemoveThumbnail","smoke","2026-06-19","passed","2026-06-19","Live Stream Thumbnail API - Batería de Pruebas > 1. Suite: Casos Positivos y Persistencia","api/smoke/live/live-thumbnail.smoke.spec.js","",""
"","163","TC_AD_015_POST_Create_VMAP_MissingTag @negative","regression","2026-06-19","passed","2026-06-19","Ad — POST /api/ad/new · VMAP","api/regression/ad/ad-create.regression.spec.js","",""
"","125","TC-001: GET lista básica retorna OK y array","smoke","2026-06-19","passed","2026-06-19","Cupones - Smoke","api/smoke/cupones/cupones.smoke.spec.js","",""
"","187","TC_CPN_REG_002_POST_MaxUseZero_Behavior @boundary","regression","2026-06-19","passed","2026-06-19","Coupon — Limits & Validation Regression","api/regression/cupones/coupon-limits.regression.spec.js","",""
"","178","TC-CAT-POST-001: Crear categoría mínima (solo name)","smoke","2026-06-19","passed","2026-06-19","POST /api/category - Creación de categorías","api/smoke/category/category-crud.smoke.spec.js","",""
"","353","TC-008: Error al crear cupón con código duplicado","regression","2026-06-19","passed","2026-06-19","Cupones - POST avanzado","api/regression/cupones/cupones-advanced.regression.spec.js","",""
"","85","TC_CON_AT_005 Tokens are unique per request","contract","2026-06-19","passed","2026-06-19","Access Token — Contract","api/contract/access/access-token.contract.spec.js","",""
"","79","TC_CON_ACK_004 GET /api/access/check/play schema — invalid token @negative","contract","2026-06-19","passed","2026-06-19","Access Check — Contract","api/contract/access/access-check.contract.spec.js","",""
"","166","TC_LOG_011_GET_VerifyCleanState","regression","2026-06-19","passed","2026-06-19","Live Stream Logo API - Exhaustive Suite (Static Assets) > 3. Suite: Eliminación y Limpieza","api/regression/live/live-logo.regression.spec.js","",""
"","420","Debe devolver OK y un array de categorías (sin filtros)","smoke","2026-06-19","passed","2026-06-19","GET /api/category - Búsqueda y listados de categorías","api/smoke/category/category-crud.smoke.spec.js","",""
"","465","TC_MED_SUBTITLE_GET","regression","2026-06-19","passed","2026-06-19","11. Subrecursos Adicionales","api/regression/media/media-advanced.regression.spec.js","",""
"","166","[PL-FUNC-001.1.4] Crea playlist Playout con múltiples reglas","regression","2026-06-19","passed","2026-06-19","POST /api/playlist - Tipos de playlist","api/regression/playlist/playlist-advanced.regression.spec.js","",""
"","109","TC_CON_CPN_002 GET /api/coupon list response schema","contract","2026-06-19","passed","2026-06-19","Coupon — Contract","api/contract/coupon/coupon.contract.spec.js","",""
"","82","TC_AT_POST_issue_invalid_type","smoke","2026-06-19","passed","2026-06-19","Access Token — Issue (POST /api/access/issue)","api/smoke/access/access-token.smoke.spec.js","",""
"","1392","TC_MED_UPLOAD_GET","regression","2026-06-19","passed","2026-06-19","11. Subrecursos Adicionales","api/regression/media/media-advanced.regression.spec.js","",""
"","284","Debe permitir buscar por category_name","smoke","2026-06-19","passed","2026-06-19","GET /api/category - Búsqueda y listados de categorías","api/smoke/category/category-crud.smoke.spec.js","",""
"","156","TC_CUS_REG_006_GET_Pagination_Stable","regression","2026-06-19","passed","2026-06-19","Customer — Regression","api/regression/customer/customer.regression.spec.js","",""
"","479","TC_MED_010_UPDATE_ChangeTitleOnly","smoke","2026-06-19","passed","2026-06-19","Media - Smoke","api/smoke/media/media-crud.smoke.spec.js","",""
"","6","TC_AR_REG_W003_POST_Create_IPRule","regression","2026-06-19","skipped","2026-06-19","Access Restriction — Regression (read-only; write tests skip without session auth)","api/regression/access_restriction/access_restriction.regression.spec.js","",""
"","341","TC_CAT_REG_021_POST_DuplicateName_UniqueSlug","regression","2026-06-19","passed","2026-06-19","Category — Regression (backend gap coverage)","api/regression/category/category.regression.spec.js","",""
"","86","Debe soportar with_count (conteo de hijos)","smoke","2026-06-19","passed","2026-06-19","GET /api/category - Búsqueda y listados de categorías","api/smoke/category/category-crud.smoke.spec.js","",""
"","259","Actualizar Ad existente (200)","smoke","2026-06-19","passed","2026-06-19","Ad - Update","api/smoke/ad/ad-crud.smoke.spec.js","",""
"","89","TC_MED_005_GET_ListDefaultParameters","smoke","2026-06-19","passed","2026-06-19","Media - Smoke","api/smoke/media/media-crud.smoke.spec.js","",""
"","80","TC_AD_031_POST_Create_AdInsertion_MissingTag @negative","regression","2026-06-19","passed","2026-06-19","Ad — POST /api/ad/new · ad-insertion","api/regression/ad/ad-create.regression.spec.js","",""
"","81","[PL-NEG] 400 o 500 con type con valor inválido","regression","2026-06-19","passed","2026-06-19","POST /api/playlist - Validaciones negativas","api/regression/playlist/playlist-advanced.regression.spec.js","",""
"","87","TC_AD_REG_008_GET_Search_EmptyResults","regression","2026-06-19","passed","2026-06-19","Ad — Regression","api/regression/ad/ad.regression.spec.js","",""
"","252","TC_AD_021_POST_Create_VAST_NegativePrerollSkip @negative","regression","2026-06-19","passed","2026-06-19","Ad — POST /api/ad/new · VAST","api/regression/ad/ad-create.regression.spec.js","",""
"","79","TC_CAT_REG_025_POST_AssignMedia_CategoryNotFound @negative","regression","2026-06-19","passed","2026-06-19","Category — Regression (backend gap coverage)","api/regression/category/category.regression.spec.js","",""
"","161","TC_LIV_008_GET_FilterOffline","regression","2026-06-19","passed","2026-06-19","2. Búsqueda y Filtros","api/regression/live/live-advanced.regression.spec.js","",""
"","236","TC_LIV_011_GET_PaginationSkip","regression","2026-06-19","passed","2026-06-19","2. Búsqueda y Filtros","api/regression/live/live-advanced.regression.spec.js","",""
"","179","TC_MED_META_GET","regression","2026-06-19","passed","2026-06-19","10. Subrecursos (Metas)","api/regression/media/media-advanced.regression.spec.js","",""
"","478","TC_MED_008_GET_DetailSuccess","smoke","2026-06-19","passed","2026-06-19","Media - Smoke","api/smoke/media/media-crud.smoke.spec.js","",""
"","425","TC_CAT_REG_020_GET_FullPath_BuildsHierarchyName","regression","2026-06-19","passed","2026-06-19","Category — Regression (backend gap coverage)","api/regression/category/category.regression.spec.js","",""
"","3997","TC_LIV_009_GET_FilterByTypeVideoAudio","regression","2026-06-19","passed","2026-06-19","2. Búsqueda y Filtros","api/regression/live/live-advanced.regression.spec.js","",""
"","2129","TC_SCH_016_POST_UpdateScheduleJob @critical","smoke","2026-06-19","passed","2026-06-19","Schedule - Smoke","api/smoke/schedule/schedule.smoke.spec.js","",""
"","86","TC_ACC_REG_009_POST_TimeLimitVeryLarge @boundary","regression","2026-06-19","passed","2026-06-19","Access Token — Negative & Boundary Regression","api/regression/access/access-negative.regression.spec.js","",""
"","156","TC_LIV_049_POST_StopRecord_NotFound @negative","regression","2026-06-19","passed","2026-06-19","11. Estado de grabación — negativos (LIVE-RISK-003)","api/regression/live/live-advanced.regression.spec.js","",""
"","1086","TC_CAT_REG_005_DELETE_WithChildren","regression","2026-06-19","passed","2026-06-19","Category — Regression","api/regression/category/category.regression.spec.js","",""
"","248","TC_CAT_REG_022_POST_Visible_False_Persists","regression","2026-06-19","passed","2026-06-19","Category — Regression (backend gap coverage)","api/regression/category/category.regression.spec.js","",""
"","3105","TC_MED_010b_UPDATE_PublishUnpublish","regression","2026-06-19","passed","2026-06-19","4b. Partial Update - variantes","api/regression/media/media-advanced.regression.spec.js","",""
"","2108","TC_LIV_012_POST_ToggleOnline","regression","2026-06-19","passed","2026-06-19","3. Estado Online/Offline","api/regression/live/live-advanced.regression.spec.js","",""
"","2840","TC_MED_001_POST_CreateStandardVideo","smoke","2026-06-19","passed","2026-06-19","Media - Smoke","api/smoke/media/media-crud.smoke.spec.js","",""
"","351","TC-012: Crear y eliminar cupón","smoke","2026-06-19","passed","2026-06-19","Cupones - Smoke","api/smoke/cupones/cupones.smoke.spec.js","",""
"","2501","TC_SCH_014_GET_DerivedScheduleDetail","smoke","2026-06-19","passed","2026-06-19","Schedule - Smoke","api/smoke/schedule/schedule.smoke.spec.js","",""
"","84","[PL-SMOKE-001] GET lista retorna 200 con schema válido","smoke","2026-06-19","passed","2026-06-19","Playlist - Smoke","api/smoke/playlist/playlist-crud.smoke.spec.js","",""
"","176","TC_LOG_001_POST_UploadValidLogo","regression","2026-06-19","passed","2026-06-19","Live Stream Logo API - Exhaustive Suite (Static Assets) > 1. Suite: Casos Positivos y Persistencia","api/regression/live/live-logo.regression.spec.js","",""
"","195","TC_CON_AD_001 POST /api/ad response schema","contract","2026-06-19","passed","2026-06-19","Ad - Contract","api/contract/ad/ad.contract.spec.js","",""
"","2534","TC_LIV_046_POST_PartialUpdate_PreservesNowplaying","regression","2026-06-19","passed","2026-06-19","10. Update — preservación de campos (LIVE-RISK-011)","api/regression/live/live-advanced.regression.spec.js","",""
"","98","TC_CPN_GET_group_subgroups_valid","regression","2026-06-19","passed","2026-06-19","Coupon Group — Subgroups (GET /api/coupon-group/:id)","api/regression/cupones/coupon-group.regression.spec.js","",""
"","83","TC_MED_017_SEARCH_VisibilityMasking","regression","2026-06-19","passed","2026-06-19","7. Search (GET /api/media/search)","api/regression/media/media-search.regression.spec.js","",""
"","417","TC_MED_THUMBNAIL_UPLOAD_POST","regression","2026-06-19","skipped","2026-06-19","11. Subrecursos Adicionales","api/regression/media/media-advanced.regression.spec.js","",""
"","2092","TC_LIV_052_POST_CreateRestream_MissingRequired @negative","regression","2026-06-19","passed","2026-06-19","Live Restream — Lifecycle (LIVE-RISK-007)","api/regression/live/live-restream.regression.spec.js","",""
"","80","TC_CON_ACK_003 GET /api/access/check/play schema — no token @negative","contract","2026-06-19","passed","2026-06-19","Access Check — Contract","api/contract/access/access-check.contract.spec.js","",""
"","88","TC_CST_GET_list_no_token","smoke","2026-06-19","passed","2026-06-19","Customer — List (GET /api/customer)","api/smoke/customer/customer.smoke.spec.js","",""
"","6","TC_AR_REG_W005_POST_Create_AllRestrictionsEnabled","regression","2026-06-19","skipped","2026-06-19","Access Restriction — Regression (read-only; write tests skip without session auth)","api/regression/access_restriction/access_restriction.regression.spec.js","",""
"","89","TC_AT_POST_issue_no_token","smoke","2026-06-19","passed","2026-06-19","Access Token — Issue (POST /api/access/issue)","api/smoke/access/access-token.smoke.spec.js","",""
"","78","TC_CUS_REG_001_POST_Create_WeakPassword","regression","2026-06-19","passed","2026-06-19","Customer — Regression","api/regression/customer/customer.regression.spec.js","",""
"","2230","TC_LIV_024_POST_RefreshToken","regression","2026-06-19","passed","2026-06-19","6. Token de Publicación","api/regression/live/live-advanced.regression.spec.js","",""
"","325","TC-006: Crear cupón no reutilizable","smoke","2026-06-19","passed","2026-06-19","Cupones - Smoke","api/smoke/cupones/cupones.smoke.spec.js","",""
"","89","TC_CON_CPN_004 GET /api/coupon/:id not found schema quirk @negative","contract","2026-06-19","passed","2026-06-19","Coupon — Contract","api/contract/coupon/coupon.contract.spec.js","",""
"","169","TC_SCH_015_GET_ScheduleSearch","smoke","2026-06-19","passed","2026-06-19","Schedule - Smoke","api/smoke/schedule/schedule.smoke.spec.js","",""
